DFF,DFR,Altitude,Draw_D,Drain_D,LS,Lineam_D,MRVBF,MRRTF,LULC,SCA,Prifile_C,Plan_C,TRI,SPI,Slope,TWI,TPI,litho_recl,geomorph_R,grid_code,well_M
0.64413,1.04355,140,2.16108,1.99714,0.44584,1.12455,2.94245,1.9408,5,10.29437,0.00111,0.17889,2.32379,34.8954,0.03725,7.10026,4.13514,1,4,1.47,2
0.65795,1.05342,137,2.15933,1.99938,0.84961,1.1259,2.97117,1.13105,5,17.57359,-0.00253,0.02092,1.48324,87.19347,0.06861,6.81692,0.48649,1,4,1.47,2
0.67082,1.06405,136,2.15759,2.00161,0.45303,1.12724,3.23563,0.01009,5,87.88492,0.00222,-0.06667,1.09545,48.24867,0.03332,7.05108,-0.86486,1,4,1.47,2
0.68476,1.07541,137,2.15585,2.00383,0.84795,1.12856,2.89317,0.16562,5,13.8324,-0.00123,0.03424,1.73205,83.20656,0.06861,6.5986,0.02703,1,4,1.47,2
0.69778,1.08747,140,2.15412,2.00605,0.94514,1.12988,2.44959,0.97915,5,11.71573,0.00233,0.06507,2.32379,85.1489,0.08314,6.41065,2.89189,1,4,1.47,2
0.3189,0.36125,132,2.00318,2.85039,0.86449,1.64692,1.77232,2.3788,2,41.56094,0.00006,0.01522,1.34164,123.82815,0.06861,7.25286,-0.37838,1,5,3.54,3
0.33941,0.38184,132,2.00398,2.85076,0.71685,1.64864,1.70238,2.13795,2,891.46027,-0.00277,-0.03162,1.41421,303.11813,0.05266,7.50267,-1.24324,1,5,3.54,3
0.36125,0.40361,133,2.00479,2.85064,0.5815,1.65036,1.753,2.23769,2,149.55939,-0.00111,-0.02357,1.09545,173.29933,0.04711,7.47726,-1.18919,1,5,3.54,3
0.38419,0.42426,134,2.00561,2.8505,0.66165,1.65207,1.78333,1.8096,3,57.09055,-0.00105,0.02003,1.09545,122.53279,0.05266,7.40462,-0.91892,1,5,3.54,3
0.40804,0.44598,134,2.00643,2.85039,0.75093,1.65378,1.82225,1.18908,5,314.56653,-0.00247,-0.0512,1.61245,246.84406,0.06002,7.4592,-1.62162,1,5,3.54,3
0.33541,0.38184,134,2.00538,2.8536,0.70078,1.64624,0.14057,2.2836,2,14.55844,0.00026,0.01422,1.18322,82.24311,0.06002,7.28742,1.37838,1,5,3.54,3
0.36125,0.40361,135,2.00618,2.85377,0.8545,1.64796,0.35047,2.14399,2,35.14719,0.00214,0.01712,1.48324,99.03196,0.06861,7.25257,1.32432,1,5,3.54,3
0.38184,0.42426,135,2.00698,2.85367,0.66314,1.64967,0.77806,2.19784,2,49.70563,0.00105,-0.02003,1.09545,126.94698,0.05266,7.45738,0.2973,1,5,3.54,3
0.40361,0.44598,136,2.00779,2.85359,0.71171,1.65138,0.76242,1.65786,2,48.69649,0.00051,0.00996,1.18322,115.8744,0.06002,7.30897,0.45946,1,5,3.54,3
0.42638,0.46669,137,2.00861,2.85351,0.85921,1.65309,0.57848,1.92815,3,49.54578,0.00227,0.01522,1.48324,110.64664,0.06861,7.23038,0.81081,1,5,3.54,3
0.34986,0.40361,135,2.00759,2.85673,0.63742,1.64556,0.11979,2.43325,2,27.18491,0.00149,0.05587,1.41421,53.81796,0.05266,7.31442,2.10811,1,5,3.54,3
0.3759,0.42426,136,2.00838,2.85675,0.22981,1.64727,0.16991,2.5792,2,11.71573,0.00111,0.13333,0.7746,15,0.01667,8.27414,2.02703,1,5,3.54,3
0.40249,0.44598,136,2.00917,2.85668,0.2905,1.64898,0.40376,2.58153,2,24.85281,-0.00056,0.02357,0.63246,34.28997,0.02357,7.68378,1,1,5,3.54,3
0.42426,0.46669,137,2.00997,2.85663,0.55307,1.65069,0.25198,2.56712,5,17.57359,-0.00028,0.00589,0.89443,70.94701,0.04711,7.42022,1.10811,1,5,3.54,3
0.44598,0.48836,138,2.01078,2.85656,0.44958,1.65239,0.14593,2.69196,5,52.72078,0.00022,0.02385,0.7746,46.97752,0.03725,7.64109,1.32432,1,5,3.54,3
0.3662,0.42426,133,2.00979,2.8597,0.84317,1.64487,0.79225,0.72581,2,27.73437,-0.0011,-0.01571,1.41421,195.33894,0.07059,7.28576,-0.13514,1,5,3.54,3
0.39115,0.44598,135,2.01057,2.85971,0.71762,1.64658,0.68319,1.62227,2,22.16388,0.00153,-0.00711,1.18322,134.60342,0.06002,7.31216,0.78378,1,5,3.54,3
